Nome Urna;Coligação;Totalização;Partido
REGINA BECKER FORTUNATI;PDT;Concorrendo;12580
REJANE FALEIRO DEMOCRATA;DEMOCRATA;Concorrendo;35222
RENAN DA SILVA;PSB;Concorrendo;40042
REPÓRTER PASSARINHO;PDT;Concorrendo;12420
ROBERTA LEITÃO;PL;Concorrendo;22322
ROBERTO LUCCHESE;MDB;Concorrendo;15386
ROBERTO SILVEIRA;MDB;Concorrendo;15555
RODRIGO  FISCAL DO POVO;DEMOCRATA;Concorrendo;35555
RODRIGO CASSOL LIMA;PL;Concorrendo;22321
RODRIGO D'AVILA;NOVO;Concorrendo;30300
RODRIGO IPÊ;MDB;Concorrendo;15715
RODRIGO LORENZONI;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11022
RODRIGO RABUSKE;REPUBLICANOS;Concorrendo;10333
ROGÉRIO CHIMANSKI;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;18000
RONALDO SANTINI;PODE;Concorrendo;20500
RONIZE DAMASSINI;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11123
RONNIE MELLO;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11122
ROTH DA ACESSIBILIDADE;PSD;Concorrendo;55612
RUBENS O AGRÔNOMO DO PL;PL;Concorrendo;22611
RUI JORDÃO;PDT;Concorrendo;12056
RUIVO;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11444
SAIONARA MONDIALE;PL;Concorrendo;22017
SALMO;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11999
SALOMÃO MORAES;PODE;Concorrendo;20777
SAMARA GARCIA;UP;Concorrendo;80123
SÂMILA MONTEIRO;NOVO;Concorrendo;30222
SAMUEL MACIEL;NOVO;Concorrendo;30888
SANDRA PICOLI;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;65123
SANDRO BOKA;MDB;Concorrendo;15053
SANDRO DO COVATTI;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11111
SAPO VOZ DO POVO;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45223
SARA GALL;PDT;Concorrendo;12712
SARGENTO SULIVAN;PODE;Concorrendo;20190
SARTORI;PODE;Concorrendo;20999
SAUAN ROCKENBACH;MISSÃO;Concorrendo;14014
SCALCO;PL;Concorrendo;22100
SERGIO PERES;REPUBLICANOS;Concorrendo;10300
SHEILA STASIAK;PSD;Concorrendo;55551
SIDI CARDOSO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13613
SILVINHO 9;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11009
SOCORRISTA;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;43192
SOFIA CAVEDON;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13400
SOLDADO ARRUDA;PL;Concorrendo;22050
SÔNIA DO POSTO;MDB;Concorrendo;15215
SORA JU;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50333
STELA FARIAS;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13113
STELLA LUZARDO;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;44111
TALIS FERREIRA;PODE;Concorrendo;20888
TÂNIA DA SILVA;MDB;Concorrendo;15615
TENENTE EMERSON;REPUBLICANOS;Concorrendo;10505
TENENTE NETO;NOVO;Concorrendo;30064
TENENTE PIERRE;REPUBLICANOS;Concorrendo;10190
THIAGO COSTA;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;23777
THIAGO DE LEON;PDT;Concorrendo;12050
TIAGO BITENCOURT;NOVO;Concorrendo;30333
TIAGO CADÓ;PDT;Concorrendo;12000
TIAGO MENEZES;PDT;Concorrendo;12345
TIAGO SIMON;MDB;Concorrendo;15777
UBAIARA DA ESCOVINHA;REPUBLICANOS;Concorrendo;10500
UILSON DROPPA;PODE;Concorrendo;20114
VALDIR OLIVEIRA;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13713
VALÉSKA  WALBER;REPUBLICANOS;Concorrendo;10022
VALMIR LAND;REPUBLICANOS;Concorrendo;10666
VANESSA DE BORTOLI POUEY;REPUBLICANOS;Concorrendo;10770
VANICE DE MATOS;PL;Concorrendo;22215
VETERINÁRIA MARLENE NASCIMENTO;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11770
VILMAR O GARI;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50010
VINICIUS BONDAN;PSB;Concorrendo;40004
VLADIA;PDT;Concorrendo;12005
VOLMAR MAURER PADARIA;PL;Concorrendo;22010
VOLMIR RODRIGUES GORDO;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11234
WAGNER GALARDÃO;PL;Concorrendo;22038
WAGNER PETRINI;PSB;Concorrendo;40240
XANDY BARBOSA;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45055
YASMIN PRESTES;MDB;Concorrendo;15211
YOYO PANDA;PL;Concorrendo;22232
ZÉ MILANEZ;PL;Concorrendo;22220
ZÉ NUNES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13500
ZIANIA BOLZAN;PL;Concorrendo;22605
